;Absolute path;Relative path;Class
0;D:\Programming\AP_Lab2\new_dataset_task2\0000.jpg;new_dataset_task2\0000.jpg;Bay horse
1;D:\Programming\AP_Lab2\new_dataset_task2\0001.jpg;new_dataset_task2\0001.jpg;Bay horse
2;D:\Programming\AP_Lab2\new_dataset_task2\0002.jpg;new_dataset_task2\0002.jpg;Bay horse
3;D:\Programming\AP_Lab2\new_dataset_task2\0003.jpg;new_dataset_task2\0003.jpg;Bay horse
4;D:\Programming\AP_Lab2\new_dataset_task2\0004.jpg;new_dataset_task2\0004.jpg;Bay horse
5;D:\Programming\AP_Lab2\new_dataset_task2\0005.jpg;new_dataset_task2\0005.jpg;Bay horse
6;D:\Programming\AP_Lab2\new_dataset_task2\0006.jpg;new_dataset_task2\0006.jpg;Bay horse
7;D:\Programming\AP_Lab2\new_dataset_task2\0007.jpg;new_dataset_task2\0007.jpg;Bay horse
8;D:\Programming\AP_Lab2\new_dataset_task2\0008.jpg;new_dataset_task2\0008.jpg;Bay horse
9;D:\Programming\AP_Lab2\new_dataset_task2\0009.jpg;new_dataset_task2\0009.jpg;Bay horse
10;D:\Programming\AP_Lab2\new_dataset_task2\0010.jpg;new_dataset_task2\0010.jpg;Bay horse
11;D:\Programming\AP_Lab2\new_dataset_task2\0011.jpg;new_dataset_task2\0011.jpg;Bay horse
12;D:\Programming\AP_Lab2\new_dataset_task2\0012.jpg;new_dataset_task2\0012.jpg;Bay horse
13;D:\Programming\AP_Lab2\new_dataset_task2\0013.jpg;new_dataset_task2\0013.jpg;Bay horse
14;D:\Programming\AP_Lab2\new_dataset_task2\0014.jpg;new_dataset_task2\0014.jpg;Bay horse
15;D:\Programming\AP_Lab2\new_dataset_task2\0015.jpg;new_dataset_task2\0015.jpg;Bay horse
16;D:\Programming\AP_Lab2\new_dataset_task2\0016.jpg;new_dataset_task2\0016.jpg;Bay horse
17;D:\Programming\AP_Lab2\new_dataset_task2\0017.jpg;new_dataset_task2\0017.jpg;Bay horse
18;D:\Programming\AP_Lab2\new_dataset_task2\0018.jpg;new_dataset_task2\0018.jpg;Bay horse
19;D:\Programming\AP_Lab2\new_dataset_task2\0019.jpg;new_dataset_task2\0019.jpg;Bay horse
20;D:\Programming\AP_Lab2\new_dataset_task2\0020.jpg;new_dataset_task2\0020.jpg;Bay horse
21;D:\Programming\AP_Lab2\new_dataset_task2\0021.jpg;new_dataset_task2\0021.jpg;Bay horse
22;D:\Programming\AP_Lab2\new_dataset_task2\0022.jpg;new_dataset_task2\0022.jpg;Bay horse
23;D:\Programming\AP_Lab2\new_dataset_task2\0023.jpg;new_dataset_task2\0023.jpg;Bay horse
24;D:\Programming\AP_Lab2\new_dataset_task2\0024.jpg;new_dataset_task2\0024.jpg;Bay horse
25;D:\Programming\AP_Lab2\new_dataset_task2\0025.jpg;new_dataset_task2\0025.jpg;Bay horse
26;D:\Programming\AP_Lab2\new_dataset_task2\0026.jpg;new_dataset_task2\0026.jpg;Bay horse
27;D:\Programming\AP_Lab2\new_dataset_task2\0027.jpg;new_dataset_task2\0027.jpg;Bay horse
28;D:\Programming\AP_Lab2\new_dataset_task2\0028.jpg;new_dataset_task2\0028.jpg;Bay horse
29;D:\Programming\AP_Lab2\new_dataset_task2\0029.jpg;new_dataset_task2\0029.jpg;Bay horse
30;D:\Programming\AP_Lab2\new_dataset_task2\0030.jpg;new_dataset_task2\0030.jpg;Bay horse
31;D:\Programming\AP_Lab2\new_dataset_task2\0031.jpg;new_dataset_task2\0031.jpg;Bay horse
32;D:\Programming\AP_Lab2\new_dataset_task2\0032.jpg;new_dataset_task2\0032.jpg;Bay horse
33;D:\Programming\AP_Lab2\new_dataset_task2\0033.jpg;new_dataset_task2\0033.jpg;Bay horse
34;D:\Programming\AP_Lab2\new_dataset_task2\0034.jpg;new_dataset_task2\0034.jpg;Bay horse
35;D:\Programming\AP_Lab2\new_dataset_task2\0035.jpg;new_dataset_task2\0035.jpg;Bay horse
36;D:\Programming\AP_Lab2\new_dataset_task2\0036.jpg;new_dataset_task2\0036.jpg;Bay horse
